,WikidataID,authorid,full_name,wd_hos_Litteraturbanken,authorid_norm,show,updated,imported,librisid,WD_Litteraturbanken
4598,,ArfvidssonMKJ,Mathilda Katarina Johanna Arfvidsson,,ArfvidssonMKJ,True,2023-11-27,2021-03-01,,Litterturbanken_only
4597,,AlménJAA,Johan Aron Andersson Almén,,AlmenJAA,True,2023-11-27,2021-03-01,,Litterturbanken_only
4596,,AlthénG,Gustaf Althén,,AlthenG,True,2023-11-27,2021-03-01,,Litterturbanken_only
4593,,BennettCH,Charles H. Bennet,,BennettCH,True,2023-11-27,2021-03-01,,Litterturbanken_only
4587,,EureniusJL,Jacob Leonard Eurenius,,EureniusJL,True,2023-11-27,2021-03-01,,Litterturbanken_only
4572,,HasselqvistKG,Karl Gustaf Hasselqvist,,HasselqvistKG,True,2023-11-27,2021-03-01,,Litterturbanken_only
4561,,FehrI,Isak Fehr,,FehrI,True,2023-11-27,2021-03-01,,Litterturbanken_only
4530,,SundeborgLT,Lars Ture Sundeborg,,SundeborgLT,True,2023-11-27,2021-04-06,,Litterturbanken_only
4529,,SjöborgJG,Johan Gustaf Sjöborg,,SjoborgJG,True,2023-11-27,2021-04-06,,Litterturbanken_only
4528,,ThorellP,Per Thorell,,ThorellP,True,2023-11-27,2021-04-06,,Litterturbanken_only
4527,,LindskougA,Anders Lindskoug,,LindskougA,True,2023-11-27,2021-05-03,,Litterturbanken_only
4511,,FrykholmS,Sunny Frykholm,,FrykholmS,True,2023-11-27,2021-05-03,,Litterturbanken_only
4464,,RingbomOE,Oskar Evald Ringbom,,RingbomOE,True,2023-11-27,2021-11-29,,Litterturbanken_only
4508,,BjörkmanCG,Carl Gustaf Björkman,,BjorkmanCG,True,2023-11-27,2021-05-31,,Litterturbanken_only
