,authorid,WikidataID,librisid,WD_LIBRISXL
907,SundiusPG,Q6196245,,mkz25t652gnx49g
911,SvedbomJ,Q93057363,,sq47bm2b5v4zzh5
916,SwedenmarkJ,Q6199909,,jgvxzft2093wtxk
921,SöderblomS,Q6201825,,fcrv1zgz4q3kwqw
923,SöderströmH,Q100510929,,53hlsz6p18z26hz
924,SörmanP,Q1712495,,wt796zmf29c6jd9
927,TammH,Q6203671,,0xbfj58j4p545jz
928,TaubeWL,Q67336185,,53hlpdtp3l45zjc
934,ThorinusAN,Q116983893,,31fhlcsm4kts4j8
935,ThunJ,Q100522522,,c9prtjxw2p2x8dt
937,TideströmG,Q23989204,,hftw0241371nlr6
938,TidströmK,Q105727505,,86lnppfs175h9bj
940,TopeliusT,Q15042696,,rp3586695c1hvxc
941,TorckellO,Q11885364,,jgvx10823z9zwss
942,TorellÖ,Q116925695,,hvg4nfwfffgkv2pv
944,TorsslowE,Q49164471,,0xbdggqj457hk94
945,TraklG,Q78476,,zw9cfzth0lwhqv4
947,TunónH,Q67230052,,c9psz5tw10p61km
949,TybeckJ,Q71413009,,nl037bk64hlvtqb
953,TöpfferR,Q4247,,nl025rj60rgwrgg
954,TörnerJJ,Q18246691,,zw9dk3ch1vnbzl2
956,TörnqvistL,Q4983792,,dbqt12kx0wmd14t
957,TörnqvistP,Q6218386,,tr58gfkc4fztcf6
961,UpmarkGdy,Q6220195,,ljx039j45mn6vkv
966,VetterlundF,Q1453305,,qn246lt83mj3n6s
974,WahlbeckE,Q11856550,,dbqswvhx3vndrs9
976,WahlströmP,Q100968238,,dbqtzk0x2tpzvqz
977,WallenbergM,Q6230587,,fcrtvfpz50n36nh
978,WallinS,Q6231238,,zw9cf61h0cswdxm
980,WalraffJG,Q116983845,,b8nqtl8v2wtncqv
981,WasianskiEAC,Q2691239,,fcrtxl5z17jw1j7
982,WavrinskyE,Q6233433,,42gjl0kn3wqz9kf
983,WedelK,Q6234024,,xv8cgzrg0zc8kk3
984,WeigelC,Q100116,,rp36b39936xh0td
988,WervingJG,Q6339329,,20dgj96l4jzmkjc
