,0,1
808,M112407548,Q19977165
809,M112432730,Q109526289
810,M112432764,Q109526289
811,M112444434,Q109541968
812,M112444442,Q109541968
813,M112444443,Q109541968
814,M112444537,Q109541968
815,M112445211,Q59847960
816,M112445214,Q59847960
817,M112445216,Q59847960
818,M112491214,Q109499981
819,M112504772,Q533348
820,M112520051,Q64413189
821,M112536524,Q5914307
822,M112536605,Q39805042
823,M112536631,Q39805042
824,M112536637,Q39805042
825,M112536650,Q39805042
826,M112541113,Q20758140
827,M112541709,Q20758140
828,M112541729,Q20758140
829,M112541827,Q20758140
830,M112541841,Q20758140
831,M112541873,Q20758140
832,M112541891,Q20758140
833,M112548204,Q6085615
834,M112548273,Q24845317
835,M112548283,Q24845317
836,M112548396,Q16650249
837,M112548401,Q16650249
838,M112565461,Q6191926
839,M112565468,Q6191926
840,M112590291,Q98693724
841,M112672104,Q6093202
842,M112672132,Q6093202
843,M112672147,Q6093202
844,M112672151,Q6093202
845,M112687502,Q7209356
846,M112705501,Q105066959
847,M112705514,Q105066959
848,M112821416,Q5937577
849,M112821434,Q5937577
850,M112345957,Q5724619
851,M112377891,Q5749461
852,M112377898,Q5749461
853,M112407773,Q6001018
854,M112412878,Q5575903
855,M112428465,Q24018631
856,M112428900,Q313872
857,M112433224,Q5604531
858,M112433362,Q5604531
859,M112433387,Q5604531
860,M112433397,Q5604531
861,M112444151,Q98280813
862,M112444181,Q98280813
863,M112453274,Q98313414
864,M112453289,Q98313414
865,M112458098,Q1807081
866,M112458104,Q1807081
867,M112458113,Q1807081
868,M112458122,Q1807081
869,M112458124,Q1807081
870,M112490000,Q924456
871,M112490004,Q924456
872,M112490010,Q924456
873,M112490020,Q924456
874,M112490025,Q924456
875,M112490035,Q924456
876,M112490039,Q924456
877,M112510233,Q16945333
878,M112510249,Q16945333
879,M112510874,Q16945333
880,M112510882,Q16945333
881,M112547824,Q6186995
882,M112616512,Q503589
883,M112616562,Q503589
884,M112616574,Q503589
885,M112623623,Q5568911
886,M112623628,Q5568911
887,M112631804,Q5576109
888,M112631810,Q5576109
889,M112651752,Q42309609
890,M112651763,Q42309609
891,M112712510,Q6227559
892,M112712517,Q6227559
893,M112712602,Q6227559
894,M112784493,Q64413495
895,M112784752,Q4971483
896,M112825462,Q5572656
897,M112825488,Q5572656
898,M112825499,Q5572656
899,M112825515,Q5572656
900,M112345454,Q98640441
901,M112347268,Q1401658
902,M112347309,Q1401658
903,M112378593,Q6004738
904,M112382449,Q4953662
905,M112382455,Q4953662
906,M112382481,Q4953662
907,M112417353,Q42086949
908,M112417943,Q42174098
909,M112417982,Q42174098
910,M112418157,Q42174098
911,M112428490,Q24018631
912,M112451883,Q19976102
913,M112451900,Q19976102
914,M112452073,Q1662985
915,M112452079,Q1662985
916,M112490711,Q5571514
917,M112490722,Q5571514
918,M112509718,Q1488909
919,M112519792,Q4966391
920,M112519796,Q4966391
921,M112519801,Q4966391
922,M112519808,Q4966391
923,M112519813,Q4966391
924,M112519818,Q4966391
925,M112519822,Q4966391
926,M112520636,Q5818699
927,M112520643,Q5818699
928,M112554174,Q28858585
929,M112571872,Q5562560
930,M112571878,Q5562560
931,M112571881,Q5562560
932,M112589518,Q5596701
933,M112589563,Q5596701
934,M112627389,Q931295
935,M112627394,Q931295
936,M112627414,Q931295
937,M112627424,Q931295
938,M112627433,Q931295
939,M112652636,Q5575715
940,M112668074,Q104840074
941,M112668083,Q104840074
942,M112668203,Q104840074
943,M112692986,Q5581704
944,M112693006,Q5581704
945,M112729830,Q109678371
946,M112729857,Q109678371
947,M112798635,Q5605461
948,M112798802,Q5605461
949,M112798878,Q5605461
950,M112345274,Q98640441
951,M112345286,Q98640441
952,M112345312,Q98640441
953,M112345321,Q98640441
954,M112345341,Q98640441
955,M112345419,Q98640441
956,M112345428,Q98640441
957,M112377947,Q353490
958,M112380931,Q719983
959,M112380933,Q719983
960,M112399903,Q98553811
961,M112399922,Q98553811
962,M112399942,Q98553811
963,M112399956,Q98553811
964,M112400078,Q98553811
965,M112400094,Q98553811
966,M112426952,Q106977889
967,M112426957,Q106977889
968,M112467910,Q6014586
969,M112467914,Q6014586
970,M112467929,Q6014586
971,M112467930,Q6014586
972,M112467936,Q6014586
973,M112467939,Q6014586
974,M112467943,Q6014586
975,M112489150,Q5771768
976,M112491801,Q109567039
977,M112491807,Q109567039
978,M112536297,Q5794559
979,M112536305,Q5794559
980,M112536309,Q5794559
981,M112536313,Q5794559
